TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1107.1261
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1076.8143
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.1956
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	18.5181
UTI Banking & PSU Fund - Direct Plan - Growth Option	21.4895
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	14.2599
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.1655
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	15.9944
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	12.9726
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	14.1803
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	14.1209
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	12.9618
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	14.511
UTI Banking & PSU Fund- Regular Plan - Growth Option	21.1454
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	110.7982
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	109.0233
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.3167
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.7339
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	11.5971
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.5466
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2311
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2230
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	13.5454
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3682
Axis Corporate Bond Fund - Direct Plan Growth	17.3624
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2301
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.2176
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	12.7034
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2499
Axis Corporate Bond Fund - Regular Plan Growth	16.4421
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.8927
BANDHAN Corporate Bond Fund - Direct Growth	19.0706
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.7119
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3565
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	12.6521
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.5813
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.8569
BANDHAN Corporate Bond Fund - Regular Growth	18.5427
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.0855
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.6093
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	12.5002
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.6176
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.0071
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	30.5783
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.2972
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.3570
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	11.2474
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	28.0599
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.4641
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.5720
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	10.9358
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	26.4213
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.3353
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.3763
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	22.5114
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.2977
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	21.0622
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.5220
DSP Corporate Bond Fund - Direct - Growth	15.6668
DSP Corporate Bond Fund - Direct - IDCW	11.9204
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.5417
DSP Corporate Bond Fund - Direct - IDCW - Quarterly 	11.3246
DSP Corporate Bond Fund - Regular - Growth	15.4137
DSP Corporate Bond Fund - Regular - IDCW	11.8723
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.519
DSP Corporate Bond Fund - Regular - IDCW - Quarterly 	10.6785
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	102.6113
Franklin India Corporate Debt Fund - Growth	94.9660
